B_T,M_muB_per_Yb,n_pixels,source
4.358861267040898,0.9443055555555555,4,visible_curve
4.381315156375301,0.9470833333333333,4,visible_curve
4.400962309542903,0.9496296296296296,3,visible_curve
4.420609462710505,0.9519444444444445,4,visible_curve
4.440256615878108,0.9542592592592593,3,visible_curve
4.4599037690457095,0.9568055555555556,4,visible_curve
4.4795509222133125,0.9592592592592593,3,visible_curve
4.499198075380915,0.9612499999999999,4,visible_curve
4.518845228548517,0.9638888888888889,3,visible_curve
4.538492381716119,0.9658333333333333,4,visible_curve
4.560946271050521,0.9688888888888889,4,visible_curve
4.580593424218123,0.970925925925926,3,visible_curve
4.600240577385726,0.9734722222222222,4,visible_curve
4.6198877305533275,0.9751851851851852,3,visible_curve
4.6395348837209305,0.9773611111111111,4,visible_curve
4.659182036888533,0.9792592592592593,3,visible_curve
4.678829190056135,0.9815277777777778,4,visible_curve
4.701283079390537,0.9838888888888889,4,visible_curve
4.72093023255814,0.985925925925926,3,visible_curve
4.740577385725742,0.9877777777777778,4,visible_curve
4.760224538893344,0.9898148148148148,3,visible_curve
4.779871692060946,0.9920833333333333,4,visible_curve
4.799518845228548,0.9937037037037038,3,visible_curve
4.819165998396151,0.9959722222222223,4,visible_curve
4.838813151563753,0.9975925925925925,3,visible_curve
4.858460304731356,0.9998611111111111,4,visible_curve
4.880914194065758,1.0020833333333332,4,visible_curve
4.90056134723336,1.0040740740740741,3,visible_curve
4.920208500400962,1.0054166666666666,4,visible_curve
4.939855653568564,1.007037037037037,3,visible_curve
4.959502806736167,1.0086111111111111,4,visible_curve
4.979149959903769,1.0107407407407407,3,visible_curve
4.9987971130713715,1.012361111111111,4,visible_curve
5.021251002405774,1.0144444444444445,4,visible_curve
5.040898155573376,1.0159259259259261,3,visible_curve
5.060545308740979,1.0175,4,visible_curve
5.080192461908581,1.0192592592592593,3,visible_curve
5.099839615076183,1.0209722222222222,4,visible_curve
5.119486768243785,1.0227777777777778,3,visible_curve
5.139133921411387,1.0241666666666667,4,visible_curve
5.1587810745789895,1.0261111111111112,3,visible_curve
5.178428227746592,1.0272222222222223,4,visible_curve
5.200882117080995,1.0290277777777779,4,visible_curve
5.220529270248597,1.030925925925926,3,visible_curve
5.240176423416199,1.0319444444444446,4,visible_curve
5.259823576583801,1.0338888888888889,3,visible_curve
5.279470729751403,1.0352777777777777,4,visible_curve
5.299117882919005,1.0364814814814816,3,visible_curve
5.318765036086608,1.0379166666666666,4,visible_curve
5.3412189254210105,1.0393055555555555,4,visible_curve
5.3608660785886135,1.0409259259259258,3,visible_curve
5.380513231756215,1.042638888888889,4,visible_curve
5.400160384923818,1.0438888888888889,3,visible_curve
5.419807538091419,1.0451388888888888,4,visible_curve
5.439454691259022,1.0457407407407409,3,visible_curve
5.459101844426624,1.0473611111111112,4,visible_curve
