B_T,M_muB_per_Yb,M_err_muB_per_Yb,T_sample_K,moment_column,mass_mg,source_file
1.43408,0.349035,0.000107499,2.5002,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
1.44213,0.350742,0.000106858,2.5004,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
1.44805,0.352322,0.000105504,2.5005,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
1.45433,0.353859,0.000109534,2.5005,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
1.4617,0.355452,9.96963e-05,2.5005,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
1.46869,0.357183,8.8125e-05,2.5005,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
1.47566,0.358683,0.000108696,2.5005,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
1.48227,0.360311,0.000112833,2.5005,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
1.48924,0.361895,0.000109717,2.5005,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
1.49727,0.363301,0.00011398,2.5006,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
1.50428,0.36501,0.000101665,2.5007,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
1.51022,0.366504,0.000104256,2.5006,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
