# Intensity Error [H,-0.5H,0] DeltaE [0,K,0] [0,0,L]
#  shape: 134x58x1x1
5.093258e-04 9.626139e-05 -2.980000e-01 2.775000e+00 5.000000e-01 0.000000e+00
8.713507e-04 1.232420e-04 -2.980000e-01 2.825000e+00 5.000000e-01 0.000000e+00
8.229845e-04 1.163999e-04 -2.980000e-01 2.875000e+00 5.000000e-01 0.000000e+00
4.753633e-01 4.341996e-03 -2.880000e-01 2.500000e-02 5.000000e-01 0.000000e+00
8.644300e-02 1.856525e-03 -2.880000e-01 7.500000e-02 5.000000e-01 0.000000e+00
8.300625e-03 5.727992e-04 -2.880000e-01 1.250000e-01 5.000000e-01 0.000000e+00
7.043691e-03 5.279483e-04 -2.880000e-01 1.750000e-01 5.000000e-01 0.000000e+00
4.773142e-03 4.357276e-04 -2.880000e-01 2.250000e-01 5.000000e-01 0.000000e+00
5.308015e-03 4.585440e-04 -2.880000e-01 2.750000e-01 5.000000e-01 0.000000e+00
4.726209e-03 4.314428e-04 -2.880000e-01 3.250000e-01 5.000000e-01 0.000000e+00
4.380299e-03 4.139006e-04 -2.880000e-01 3.750000e-01 5.000000e-01 0.000000e+00
4.382424e-03 4.068989e-04 -2.880000e-01 4.250000e-01 5.000000e-01 0.000000e+00
4.546119e-03 4.150034e-04 -2.880000e-01 4.750000e-01 5.000000e-01 0.000000e+00
3.261883e-03 3.517389e-04 -2.880000e-01 5.250000e-01 5.000000e-01 0.000000e+00
2.998781e-03 3.352749e-04 -2.880000e-01 5.750000e-01 5.000000e-01 0.000000e+00
3.979684e-03 3.865426e-04 -2.880000e-01 6.250000e-01 5.000000e-01 0.000000e+00
2.477435e-03 3.049525e-04 -2.880000e-01 6.750000e-01 5.000000e-01 0.000000e+00
3.138646e-03 3.424556e-04 -2.880000e-01 7.250000e-01 5.000000e-01 0.000000e+00
2.580033e-03 3.083743e-04 -2.880000e-01 7.750000e-01 5.000000e-01 0.000000e+00
2.967269e-03 3.276813e-04 -2.880000e-01 8.250000e-01 5.000000e-01 0.000000e+00
2.514905e-03 3.005897e-04 -2.880000e-01 8.750000e-01 5.000000e-01 0.000000e+00
2.646724e-03 3.076768e-04 -2.880000e-01 9.250000e-01 5.000000e-01 0.000000e+00
1.492921e-03 2.303634e-04 -2.880000e-01 9.750000e-01 5.000000e-01 0.000000e+00
1.200208e-03 2.058349e-04 -2.880000e-01 1.025000e+00 5.000000e-01 0.000000e+00
1.323765e-03 2.147441e-04 -2.880000e-01 1.075000e+00 5.000000e-01 0.000000e+00
1.934920e-03 2.585656e-04 -2.880000e-01 1.125000e+00 5.000000e-01 0.000000e+00
1.368210e-03 2.163338e-04 -2.880000e-01 1.175000e+00 5.000000e-01 0.000000e+00
1.220852e-03 2.034768e-04 -2.880000e-01 1.225000e+00 5.000000e-01 0.000000e+00
1.407793e-03 2.172290e-04 -2.880000e-01 1.275000e+00 5.000000e-01 0.000000e+00
1.465713e-03 2.209661e-04 -2.880000e-01 1.325000e+00 5.000000e-01 0.000000e+00
5.264382e-04 1.316105e-04 -2.880000e-01 1.375000e+00 5.000000e-01 0.000000e+00
8.444087e-04 1.656037e-04 -2.880000e-01 1.425000e+00 5.000000e-01 0.000000e+00
5.162549e-04 1.290648e-04 -2.880000e-01 1.475000e+00 5.000000e-01 0.000000e+00
6.332362e-04 1.415967e-04 -2.880000e-01 1.525000e+00 5.000000e-01 0.000000e+00
