# Intensity Error [H,-0.5H,0] DeltaE [0,0,L] [0,K,0]
#  shape: 67x80x1x1
9.089299e-04 1.402515e-04 -2.830000e-01 2.475000e+00 0.000000e+00 5.000000e-01
1.114124e-03 1.545020e-04 -2.830000e-01 2.525000e+00 0.000000e+00 5.000000e-01
7.647398e-04 1.274575e-04 -2.830000e-01 2.575000e+00 0.000000e+00 5.000000e-01
8.438785e-04 1.334297e-04 -2.830000e-01 2.625000e+00 0.000000e+00 5.000000e-01
9.526341e-04 1.404594e-04 -2.830000e-01 2.675000e+00 0.000000e+00 5.000000e-01
1.181945e-03 1.551978e-04 -2.830000e-01 2.725000e+00 0.000000e+00 5.000000e-01
8.451394e-04 1.304088e-04 -2.830000e-01 2.775000e+00 0.000000e+00 5.000000e-01
8.760693e-04 1.320729e-04 -2.830000e-01 2.825000e+00 0.000000e+00 5.000000e-01
1.057656e-03 1.439300e-04 -2.830000e-01 2.875000e+00 0.000000e+00 5.000000e-01
6.189029e-04 1.094088e-04 -2.830000e-01 2.925000e+00 0.000000e+00 5.000000e-01
6.861200e-04 1.143542e-04 -2.830000e-01 2.975000e+00 0.000000e+00 5.000000e-01
8.620828e-04 1.271083e-04 -2.830000e-01 3.025000e+00 0.000000e+00 5.000000e-01
5.495158e-04 1.003283e-04 -2.830000e-01 3.075000e+00 0.000000e+00 5.000000e-01
5.376486e-04 9.816213e-05 -2.830000e-01 3.125000e+00 0.000000e+00 5.000000e-01
4.211494e-04 8.596747e-05 -2.830000e-01 3.175000e+00 0.000000e+00 5.000000e-01
6.471668e-04 1.049854e-04 -2.830000e-01 3.225000e+00 0.000000e+00 5.000000e-01
4.953330e-04 9.043642e-05 -2.830000e-01 3.275000e+00 0.000000e+00 5.000000e-01
3.496216e-04 7.454068e-05 -2.830000e-01 3.325000e+00 0.000000e+00 5.000000e-01
4.587972e-04 8.376579e-05 -2.830000e-01 3.375000e+00 0.000000e+00 5.000000e-01
4.115213e-04 7.777146e-05 -2.830000e-01 3.425000e+00 0.000000e+00 5.000000e-01
2.801590e-04 6.264676e-05 -2.830000e-01 3.475000e+00 0.000000e+00 5.000000e-01
4.019428e-04 7.338642e-05 -2.830000e-01 3.525000e+00 0.000000e+00 5.000000e-01
4.861802e-04 7.887004e-05 -2.830000e-01 3.575000e+00 0.000000e+00 5.000000e-01
4.125011e-04 7.074481e-05 -2.830000e-01 3.625000e+00 0.000000e+00 5.000000e-01
3.493529e-04 6.378445e-05 -2.830000e-01 3.675000e+00 0.000000e+00 5.000000e-01
3.797351e-04 6.512641e-05 -2.830000e-01 3.725000e+00 0.000000e+00 5.000000e-01
3.692456e-04 6.332755e-05 -2.830000e-01 3.775000e+00 0.000000e+00 5.000000e-01
2.952271e-04 5.579511e-05 -2.830000e-01 3.825000e+00 0.000000e+00 5.000000e-01
4.095547e-04 6.475903e-05 -2.830000e-01 3.875000e+00 0.000000e+00 5.000000e-01
4.536178e-04 6.688495e-05 -2.830000e-01 3.925000e+00 0.000000e+00 5.000000e-01
6.753597e-04 7.851302e-05 -2.830000e-01 3.975000e+00 0.000000e+00 5.000000e-01
3.100122e-01 2.280244e-03 -2.630000e-01 2.500000e-02 0.000000e+00 5.000000e-01
1.737467e-01 1.729874e-03 -2.630000e-01 7.500000e-02 0.000000e+00 5.000000e-01
4.660301e-02 8.925890e-04 -2.630000e-01 1.250000e-01 0.000000e+00 5.000000e-01
2.029755e-02 5.913867e-04 -2.630000e-01 1.750000e-01 0.000000e+00 5.000000e-01
9.043854e-03 4.020487e-04 -2.630000e-01 2.250000e-01 0.000000e+00 5.000000e-01
3.335610e-03 2.445791e-04 -2.630000e-01 2.750000e-01 0.000000e+00 5.000000e-01
1.195574e-03 1.471651e-04 -2.630000e-01 3.250000e-01 0.000000e+00 5.000000e-01
9.070700e-04 1.282792e-04 -2.630000e-01 3.750000e-01 0.000000e+00 5.000000e-01
4.712293e-04 9.241577e-05 -2.630000e-01 4.250000e-01 0.000000e+00 5.000000e-01
4.411901e-04 9.005767e-05 -2.630000e-01 4.750000e-01 0.000000e+00 5.000000e-01
7.736694e-04 1.193799e-04 -2.630000e-01 5.250000e-01 0.000000e+00 5.000000e-01
7.357658e-04 1.163350e-04 -2.630000e-01 5.750000e-01 0.000000e+00 5.000000e-01
7.423132e-04 1.173702e-04 -2.630000e-01 6.250000e-01 0.000000e+00 5.000000e-01
5.236835e-04 9.896697e-05 -2.630000e-01 6.750000e-01 0.000000e+00 5.000000e-01
4.496701e-04 9.178858e-05 -2.630000e-01 7.250000e-01 0.000000e+00 5.000000e-01
5.224798e-04 9.873952e-05 -2.630000e-01 7.750000e-01 0.000000e+00 5.000000e-01
8.587442e-04 1.266151e-04 -2.630000e-01 8.250000e-01 0.000000e+00 5.000000e-01
6.431401e-04 1.102978e-04 -2.630000e-01 8.750000e-01 0.000000e+00 5.000000e-01
7.679695e-04 1.214269e-04 -2.630000e-01 9.250000e-01 0.000000e+00 5.000000e-01
6.940868e-04 1.156813e-04 -2.630000e-01 9.750000e-01 0.000000e+00 5.000000e-01
6.944299e-04 1.157385e-04 -2.630000e-01 1.025000e+00 0.000000e+00 5.000000e-01
5.456226e-04 1.031133e-04 -2.630000e-01 1.075000e+00 0.000000e+00 5.000000e-01
4.666502e-04 9.525469e-05 -2.630000e-01 1.125000e+00 0.000000e+00 5.000000e-01
8.698042e-04 1.311281e-04 -2.630000e-01 1.175000e+00 0.000000e+00 5.000000e-01
8.027287e-04 1.269229e-04 -2.630000e-01 1.225000e+00 0.000000e+00 5.000000e-01
6.957920e-04 1.193275e-04 -2.630000e-01 1.275000e+00 0.000000e+00 5.000000e-01
8.843228e-04 1.364543e-04 -2.630000e-01 1.325000e+00 0.000000e+00 5.000000e-01
1.032380e-03 1.490115e-04 -2.630000e-01 1.375000e+00 0.000000e+00 5.000000e-01
5.621568e-04 1.102483e-04 -2.630000e-01 1.425000e+00 0.000000e+00 5.000000e-01
1.260342e-03 1.654914e-04 -2.630000e-01 1.475000e+00 0.000000e+00 5.000000e-01
1.233215e-03 1.647957e-04 -2.630000e-01 1.525000e+00 0.000000e+00 5.000000e-01
1.451040e-03 1.786112e-04 -2.630000e-01 1.575000e+00 0.000000e+00 5.000000e-01
1.579525e-03 1.861492e-04 -2.630000e-01 1.625000e+00 0.000000e+00 5.000000e-01
1.323133e-03 1.708162e-04 -2.630000e-01 1.675000e+00 0.000000e+00 5.000000e-01
1.234937e-03 1.650258e-04 -2.630000e-01 1.725000e+00 0.000000e+00 5.000000e-01
1.663970e-03 1.908711e-04 -2.630000e-01 1.775000e+00 0.000000e+00 5.000000e-01
1.745776e-03 1.951843e-04 -2.630000e-01 1.825000e+00 0.000000e+00 5.000000e-01
1.794052e-03 1.981205e-04 -2.630000e-01 1.875000e+00 0.000000e+00 5.000000e-01
2.641380e-03 2.411247e-04 -2.630000e-01 1.925000e+00 0.000000e+00 5.000000e-01
2.165198e-03 2.187190e-04 -2.630000e-01 1.975000e+00 0.000000e+00 5.000000e-01
