# Intensity Error [-0.5K,K,0] DeltaE [0,0,L] [H,0,0]
#  shape: 67x80x1x1
7.354681e-03 4.747434e-04 -2.630000e-01 4.750000e-01 0.000000e+00 5.000000e-01
6.898674e-03 4.609378e-04 -2.630000e-01 5.250000e-01 0.000000e+00 5.000000e-01
5.550793e-03 4.137323e-04 -2.630000e-01 5.750000e-01 0.000000e+00 5.000000e-01
5.751708e-03 4.240222e-04 -2.630000e-01 6.250000e-01 0.000000e+00 5.000000e-01
5.059823e-03 4.000147e-04 -2.630000e-01 6.750000e-01 0.000000e+00 5.000000e-01
5.710631e-03 4.256460e-04 -2.630000e-01 7.250000e-01 0.000000e+00 5.000000e-01
5.701766e-03 4.249853e-04 -2.630000e-01 7.750000e-01 0.000000e+00 5.000000e-01
4.249457e-03 3.670978e-04 -2.630000e-01 8.250000e-01 0.000000e+00 5.000000e-01
4.424541e-03 3.766426e-04 -2.630000e-01 8.750000e-01 0.000000e+00 5.000000e-01
4.226828e-03 3.707180e-04 -2.630000e-01 9.250000e-01 0.000000e+00 5.000000e-01
3.721833e-03 3.485823e-04 -2.630000e-01 9.750000e-01 0.000000e+00 5.000000e-01
2.743726e-03 2.993655e-04 -2.630000e-01 1.025000e+00 0.000000e+00 5.000000e-01
3.233528e-03 3.266363e-04 -2.630000e-01 1.075000e+00 0.000000e+00 5.000000e-01
2.563244e-03 2.902309e-04 -2.630000e-01 1.125000e+00 0.000000e+00 5.000000e-01
2.583339e-03 2.925062e-04 -2.630000e-01 1.175000e+00 0.000000e+00 5.000000e-01
1.725196e-03 2.392421e-04 -2.630000e-01 1.225000e+00 0.000000e+00 5.000000e-01
1.195952e-03 1.993259e-04 -2.630000e-01 1.275000e+00 0.000000e+00 5.000000e-01
1.874065e-03 2.504329e-04 -2.630000e-01 1.325000e+00 0.000000e+00 5.000000e-01
7.393024e-04 1.576201e-04 -2.630000e-01 1.375000e+00 0.000000e+00 5.000000e-01
1.408818e-03 2.173858e-04 -2.630000e-01 1.425000e+00 0.000000e+00 5.000000e-01
8.078748e-04 1.649071e-04 -2.630000e-01 1.475000e+00 0.000000e+00 5.000000e-01
6.796232e-04 1.519688e-04 -2.630000e-01 1.525000e+00 0.000000e+00 5.000000e-01
2.720261e-04 9.617590e-05 -2.630000e-01 1.575000e+00 0.000000e+00 5.000000e-01
3.385383e-04 1.070554e-04 -2.630000e-01 1.625000e+00 0.000000e+00 5.000000e-01
5.448665e-04 1.362168e-04 -2.630000e-01 1.675000e+00 0.000000e+00 5.000000e-01
8.150520e-04 1.663721e-04 -2.630000e-01 1.725000e+00 0.000000e+00 5.000000e-01
6.066464e-04 1.429883e-04 -2.630000e-01 1.775000e+00 0.000000e+00 5.000000e-01
6.703681e-04 1.498993e-04 -2.630000e-01 1.825000e+00 0.000000e+00 5.000000e-01
7.379212e-04 1.573260e-04 -2.630000e-01 1.875000e+00 0.000000e+00 5.000000e-01
7.414223e-04 1.580725e-04 -2.630000e-01 1.925000e+00 0.000000e+00 5.000000e-01
1.218224e-03 2.030382e-04 -2.630000e-01 1.975000e+00 0.000000e+00 5.000000e-01
