# Intensity Error [H,-0.5H,0] DeltaE [0,K,0] [0,0,L]
#  shape: 134x58x1x1
2.396162e-03 2.823919e-04 -2.880000e-01 1.325000e+00 5.000000e-01 0.000000e+00
2.169948e-03 2.671036e-04 -2.880000e-01 1.375000e+00 5.000000e-01 0.000000e+00
1.106307e-03 1.897309e-04 -2.880000e-01 1.425000e+00 5.000000e-01 0.000000e+00
1.650084e-03 2.310590e-04 -2.880000e-01 1.475000e+00 5.000000e-01 0.000000e+00
1.457682e-03 2.149245e-04 -2.880000e-01 1.525000e+00 5.000000e-01 0.000000e+00
1.449311e-03 2.136914e-04 -2.880000e-01 1.575000e+00 5.000000e-01 0.000000e+00
1.800039e-03 2.363585e-04 -2.880000e-01 1.625000e+00 5.000000e-01 0.000000e+00
1.105349e-03 1.842269e-04 -2.880000e-01 1.675000e+00 5.000000e-01 0.000000e+00
1.267369e-03 1.955611e-04 -2.880000e-01 1.725000e+00 5.000000e-01 0.000000e+00
1.012647e-03 1.736699e-04 -2.880000e-01 1.775000e+00 5.000000e-01 0.000000e+00
1.115497e-03 1.809590e-04 -2.880000e-01 1.825000e+00 5.000000e-01 0.000000e+00
1.446201e-03 2.045259e-04 -2.880000e-01 1.875000e+00 5.000000e-01 0.000000e+00
7.402982e-04 1.451862e-04 -2.880000e-01 1.925000e+00 5.000000e-01 0.000000e+00
1.228503e-03 1.852062e-04 -2.880000e-01 1.975000e+00 5.000000e-01 0.000000e+00
8.229165e-04 1.502458e-04 -2.880000e-01 2.025000e+00 5.000000e-01 0.000000e+00
4.891477e-04 1.152940e-04 -2.880000e-01 2.075000e+00 5.000000e-01 0.000000e+00
1.218739e-03 1.796959e-04 -2.880000e-01 2.125000e+00 5.000000e-01 0.000000e+00
7.791456e-04 1.422553e-04 -2.880000e-01 2.175000e+00 5.000000e-01 0.000000e+00
4.575490e-04 1.078482e-04 -2.880000e-01 2.225000e+00 5.000000e-01 0.000000e+00
6.485889e-04 1.272025e-04 -2.880000e-01 2.275000e+00 5.000000e-01 0.000000e+00
1.944156e-04 6.873831e-05 -2.880000e-01 2.325000e+00 5.000000e-01 0.000000e+00
5.203522e-04 1.109419e-04 -2.880000e-01 2.375000e+00 5.000000e-01 0.000000e+00
